team,points,played,goalScored,goalConceded,goalDifference,wins,draws,losses,leaguePosition,homeLeaguePosition,awayLeaguePosition,homePerformance,awayPerformance,recentForm,goalsPerMatch,homeGoalsScored,homeGoalsConceded,homeGoalDifference,awayGoalsScored,awayGoalsConceded,awayGoalDifference
Napoli,44,19,30,12,18,14,2,3,1,0,0,0,0,0,1.5789473684210527,13,6,7,17,6,11
Atalanta,41,18,43,20,23,13,2,3,2,0,0,0,0,0,2.388888888888889,25,11,14,18,9,9
Inter,40,17,45,15,30,12,4,1,3,0,0,0,0,0,2.6470588235294117,21,10,11,24,5,19
Lazio,35,19,33,27,6,11,2,6,4,0,0,0,0,0,1.736842105263158,18,13,5,15,14,1
Juventus,32,18,30,15,15,7,11,0,5,0,0,0,0,0,1.6666666666666667,15,9,6,15,6,9
Fiorentina,32,18,31,18,13,9,5,4,6,0,0,0,0,0,1.7222222222222223,16,11,5,15,7,8
Bologna,28,17,25,21,4,7,7,3,7,0,0,0,0,0,1.4705882352941178,10,6,4,15,15,0
Milan,27,17,26,17,9,7,6,4,8,0,0,0,0,0,1.5294117647058822,14,5,9,12,12,0
Udinese,25,19,23,28,-5,7,4,8,9,0,0,0,0,0,1.2105263157894737,11,13,-2,12,15,-3
Roma,23,19,26,24,2,6,5,8,10,0,0,0,0,0,1.368421052631579,20,10,10,6,14,-8
Torino,21,19,19,24,-5,5,6,8,11,0,0,0,0,0,1.0,6,9,-3,13,15,-2
Empoli,20,19,18,22,-4,4,8,7,12,0,0,0,0,0,0.9473684210526315,3,8,-5,15,14,1
Genoa,20,19,16,27,-11,4,8,7,13,0,0,0,0,0,0.8421052631578947,9,16,-7,7,11,-4
Parma,19,19,25,34,-9,4,7,8,14,0,0,0,0,0,1.3157894736842106,16,18,-2,9,16,-7
Verona,19,19,24,42,-18,6,1,12,15,0,0,0,0,0,1.263157894736842,11,22,-11,13,20,-7
Como 1907,18,18,20,30,-10,4,6,8,16,0,0,0,0,0,1.1111111111111112,12,13,-1,8,17,-9
Cagliari,17,19,18,32,-14,4,5,10,17,0,0,0,0,0,0.9473684210526315,8,18,-10,10,14,-4
Lecce,17,19,11,31,-20,4,5,10,18,0,0,0,0,0,0.5789473684210527,9,17,-8,2,14,-12
Venezia FC,14,19,18,32,-14,3,5,11,19,0,0,0,0,0,0.9473684210526315,11,12,-1,7,20,-13
Monza,10,19,17,27,-10,1,7,11,20,0,0,0,0,0,0.8947368421052632,8,15,-7,9,12,-3
