id,status,matchday,homeTeam,awayTeam,date_month,time_hour,ft_home,ft_away,ht_home,ht_away,winner
503046,FINISHED,1,Genoa,Inter,08,16,2.0,2.0,1.0,1.0,1
503052,FINISHED,1,Parma,Fiorentina,08,16,1.0,1.0,1.0,0.0,1
503045,FINISHED,1,Empoli,Monza,08,18,0.0,0.0,0.0,0.0,1
503051,FINISHED,1,Milan,Torino,08,18,2.0,2.0,0.0,1.0,1
503043,FINISHED,1,Bologna,Udinese,08,16,1.0,1.0,0.0,0.0,1
503047,FINISHED,1,Verona,Napoli,08,16,3.0,0.0,0.0,0.0,0
503044,FINISHED,1,Cagliari,Roma,08,18,0.0,0.0,0.0,0.0,1
503049,FINISHED,1,Lazio,Venezia FC,08,18,3.0,1.0,2.0,1.0,0
503050,FINISHED,1,Lecce,Atalanta,08,16,0.0,4.0,0.0,2.0,2
503048,FINISHED,1,Juventus,Como 1907,08,18,3.0,0.0,2.0,0.0,0
503059,FINISHED,2,Parma,Milan,08,16,2.0,1.0,1.0,0.0,0
503062,FINISHED,2,Udinese,Lazio,08,16,2.0,1.0,1.0,0.0,0
503056,FINISHED,2,Inter,Lecce,08,18,2.0,0.0,1.0,0.0,0
503057,FINISHED,2,Monza,Genoa,08,18,0.0,1.0,0.0,1.0,2
503054,FINISHED,2,Fiorentina,Venezia FC,08,16,0.0,0.0,0.0,0.0,1
503061,FINISHED,2,Torino,Atalanta,08,16,2.0,1.0,1.0,1.0,0
503058,FINISHED,2,Napoli,Bologna,08,18,3.0,0.0,1.0,0.0,0
503060,FINISHED,2,Roma,Empoli,08,18,1.0,2.0,0.0,1.0,2
503053,FINISHED,2,Cagliari,Como 1907,08,16,1.0,1.0,1.0,0.0,1
503055,FINISHED,2,Verona,Juventus,08,18,0.0,3.0,0.0,2.0,2
503072,FINISHED,3,Venezia FC,Torino,08,16,0.0,1.0,0.0,0.0,2
503066,FINISHED,3,Inter,Atalanta,08,18,4.0,0.0,2.0,0.0,0
503063,FINISHED,3,Bologna,Empoli,08,16,1.0,1.0,1.0,1.0,1
503069,FINISHED,3,Lecce,Cagliari,08,16,1.0,0.0,1.0,0.0,0
503068,FINISHED,3,Lazio,Milan,08,18,2.0,2.0,0.0,1.0,1
503070,FINISHED,3,Napoli,Parma,08,18,2.0,1.0,0.0,1.0,0
503064,FINISHED,3,Fiorentina,Monza,09,16,2.0,2.0,1.0,2.0,1
503065,FINISHED,3,Genoa,Verona,09,16,0.0,2.0,0.0,0.0,2
503067,FINISHED,3,Juventus,Roma,09,18,0.0,0.0,0.0,0.0,1
503071,FINISHED,3,Udinese,Como 1907,09,18,1.0,0.0,1.0,0.0,0
503075,FINISHED,4,Como 1907,Bologna,09,13,2.0,2.0,1.0,0.0,1
503076,FINISHED,4,Empoli,Juventus,09,16,0.0,0.0,0.0,0.0,1
503079,FINISHED,4,Milan,Venezia FC,09,18,4.0,0.0,4.0,0.0,0
503077,FINISHED,4,Genoa,Roma,09,10,1.0,1.0,0.0,1.0,1
503073,FINISHED,4,Atalanta,Fiorentina,09,13,3.0,2.0,3.0,2.0,0
503082,FINISHED,4,Torino,Lecce,09,13,0.0,0.0,0.0,0.0,1
503074,FINISHED,4,Cagliari,Napoli,09,16,0.0,4.0,0.0,1.0,2
503080,FINISHED,4,Monza,Inter,09,18,1.0,1.0,0.0,0.0,1
503081,FINISHED,4,Parma,Udinese,09,16,2.0,3.0,2.0,0.0,2
503078,FINISHED,4,Lazio,Verona,09,18,2.0,1.0,2.0,1.0,0
503084,FINISHED,5,Cagliari,Empoli,09,16,0.0,2.0,0.0,1.0,2
503086,FINISHED,5,Verona,Torino,09,18,2.0,3.0,1.0,2.0,2
503092,FINISHED,5,Venezia FC,Genoa,09,13,2.0,0.0,0.0,0.0,0
503088,FINISHED,5,Juventus,Napoli,09,16,0.0,0.0,0.0,0.0,1
503089,FINISHED,5,Lecce,Parma,09,18,2.0,2.0,1.0,0.0,1
503085,FINISHED,5,Fiorentina,Lazio,09,10,2.0,1.0,0.0,1.0,0
503090,FINISHED,5,Monza,Bologna,09,13,1.0,2.0,1.0,1.0,2
503091,FINISHED,5,Roma,Udinese,09,16,3.0,0.0,1.0,0.0,0
503087,FINISHED,5,Inter,Milan,09,18,1.0,2.0,1.0,1.0,2
503083,FINISHED,5,Atalanta,Como 1907,09,18,2.0,3.0,1.0,0.0,2
503097,FINISHED,6,Milan,Lecce,09,18,3.0,0.0,3.0,0.0,0
503102,FINISHED,6,Udinese,Inter,09,13,2.0,3.0,1.0,2.0,2
503096,FINISHED,6,Genoa,Juventus,09,16,0.0,3.0,0.0,0.0,2
503093,FINISHED,6,Bologna,Atalanta,09,18,1.0,1.0,0.0,0.0,1
503101,FINISHED,6,Torino,Lazio,09,10,2.0,3.0,0.0,1.0,2
503094,FINISHED,6,Como 1907,Verona,09,13,3.0,2.0,1.0,0.0,0
